timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1647695335102,32217,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-377,text,false,,4082,117,382,382,https://www.facebook.com/,11178,0,11098
1647695335102,11178,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-377,text,true,,624,117,382,382,https://facebook.com/,11178,0,11098
1647695346283,21036,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-377,text,false,,3458,0,382,382,https://www.facebook.com/,0,0,21036
1647695335861,31474,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-979,text,false,,4082,117,381,381,https://www.facebook.com/,10435,0,10382
1647695335861,10435,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-979,text,true,,624,117,381,381,https://facebook.com/,10435,0,10382
1647695346300,21035,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-979,text,false,,3458,0,381,381,https://www.facebook.com/,0,0,21035
1647695335442,31923,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-588,text,false,,4065,117,380,380,https://www.facebook.com/,10879,0,10833
1647695335442,10879,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-588,text,true,,607,117,380,380,https://facebook.com/,10879,0,10833
1647695346323,21042,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-588,text,false,,3458,0,380,380,https://www.facebook.com/,0,0,21042
1647695335420,32007,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-568,text,false,,4065,117,379,379,https://www.facebook.com/,10974,0,10925
